ISIN,DESCRIPTION,Par Value,PRICE,MARKET_VALUE,WEIGHT,ISSUE_DT,MATURITY,BICS_LEVEL_1_SECTOR_NAME,AMT_ISSUED,AMT_OUTSTANDING,CRNCY,CNTRY_OF_RISK,DEBT_EBITDA,CUR_EV_COMPONENT,EV_TO_T12M_EBITDA,EBITDA_TO_INTEREST_EXPN,BB_1YR_DEFAULT_PROB,RSK_BB_IMPLIED_CDS_SPREAD,GUARANTOR,INVESTMENT_GRADE,DUR_MID,CNVX_MID,YAS_YLD_SPREAD,YAS_OAS_SPRD,Z_SPRD_MID
US25272KAK97,DELL 6.02 06/15/26,4500000,101.906,4718963,0.093020875,6/1/2016,6/15/2026,Technology,4500000000,4500000000,USD,US,-1.412443694,40446,6.240144262,15.39259259,0.024969555,203,1,1,5.824073037,0.39865234,281.1075,280.2405058,282.6788736
US25156PAC77,DT 8 ? 06/15/30,3500000,129.875,4696199,0.092572148,7/6/2000,6/15/2030,Communications,3500000000,3500000000,USD,DE,#N/A N/A,30863.576,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1,1,7.771529193,0.769849499,221.9394,217.7194039,216.7985467
US00206RCN08,T 3.4 05/15/25,5000000,93.54,4689750,0.092445024,5/4/2015,5/15/2025,Communications,5000000000,5000000000,USD,US,3.371941808,175884,8.954888819,7.196190476,0.00016571,127,0,1,5.781454037,0.369462272,161.0947,162.6504871,163.7215495
US92343VCM46,VZ 5.012 08/21/54,4775740,96.648,4689460,0.092439307,3/11/2015,8/21/2054,Communications,5500001000,4775740000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,16.44147471,4.061482963,204.2947,219.2288875,220.3333187
US25272KAD54,DELL 4.42 06/15/21,4500000,99.994,4597523,0.090627032,6/1/2016,6/15/2021,Technology,4500000000,4500000000,USD,US,-1.412443694,40446,6.240144262,15.39259259,0.024969555,203,1,1,2.345297473,0.066449018,162.4618,148.9057606,150.8196102
US92343VBR42,VZ 5.15 09/15/23,4270377,105.737,4568516,0.090055242,9/18/2013,9/15/2023,Communications,11000000000,4270377000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,4.242643675,0.207051137,105.4707,94.75478166,94.97777682
US161175AY09,CHTR 4.908 07/23/25,4492469,99.641,4561475,0.089916449,12/1/2016,7/23/2025,Communications,4492469000,4492469000,USD,US,4.596520404,71862,9.441831967,4.755339806,0.000486452,157,1,0,5.615290638,0.36133576,205.1511,204.8931864,207.5524536
US585055BU98,MDT 4 ? 03/15/45,4150000,104.838,4397162,0.086677487,8/31/2015,3/15/2045,Health Care,4150000000,4150000000,USD,US,1.550151026,14990,15.45398081,8.110820244,6.13018E-07,32,1,1,15.55340851,3.243755946,117.7275,132.1876006,131.8058553
US11134LAH24,AVGO 3 ? 01/15/27,4798407,89.656,4377985,0.086299468,2/14/2018,1/15/2027,Technology,4798407000,4798407000,USD,US,1.35687121,13201,11.33654817,14.67515924,8.56165E-05,84,1,1,6.825778104,0.526881869,255.3077,254.631661,255.2161047
US594918BT09,MSFT 3.7 08/08/46,4500000,94.962,4330640,0.085366196,8/8/2016,8/8/2046,Technology,4500000000,4500000000,USD,US,-1.001002004,-47952,17.33486974,16.58214416,4.71824E-06,54,0,1,17.02666036,3.831950691,85.2738,98.44732811,99.15780678
US92343VER15,VZ 4.329 09/21/28,4230411,100.085,4320996,0.085176092,10/22/2018,9/21/2028,Communications,4230411000,4230411000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,7.913938312,0.727317475,139.9768,136.5562324,136.7501146
US92343VCK89,VZ 4.862 08/21/46,4317480,98.263,4307210,0.084904341,3/11/2015,8/21/2046,Communications,4500038000,4317480000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,15.15433966,3.19670254,183.424,198.0733859,197.8610272
US92343VCX01,VZ 4.522 09/15/48,4548159,93.485,4301550,0.08479277,8/20/2015,9/15/2048,Communications,5000000000,4548159000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,16.00706311,3.594257875,178.2367,193.1211031,192.9350506
US037833BX70,AAPL 4.65 02/23/46,4000000,104.662,4242797,0.083634622,2/23/2016,2/23/2046,Technology,4000000000,4000000000,USD,US,-1.503304113,-122617,11.62300632,25.24722222,1.4094E-05,64,0,1,15.61807965,3.294714068,119.4013,132.7096995,133.4786454
US06051GEU94,BAC 3.3 01/11/23,4250000,97.945,4221490,0.083214616,1/11/2013,1/11/2023,Financials,4250000000,4250000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000156814,58,0,1,3.789608215,0.163564683,111.1024,100.1325718,100.2954096
US92343VCZ58,VZ 4.672 03/15/55,4480535,92.172,4180387,0.082404388,8/20/2015,3/15/2055,Communications,5499999000,4480535000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,16.89824284,4.269437462,198.6357,213.6521387,214.922182
US68389XBK00,ORCL 1.9 09/15/21,4250000,96.242,4109800,0.081012967,7/7/2016,9/15/2021,Technology,4250000000,4250000000,USD,US,-0.115222235,-1468,11.16808829,8.13037037,3.69399E-05,74,0,1,2.681314118,0.083758629,56.5413,45.10891038,45.32372766
US20030NCT63,CMCSA 4.15 10/15/28,4000000,99.799,4022855,0.079299094,10/5/2018,10/15/2028,Communications,4000000000,4000000000,USD,US,2.192168808,64407,7.850477419,9.155541154,0.000110469,117,1,1,8.112212731,0.753273353,126.7622,121.474979,123.3691928
US20030NCM11,CMCSA 4.7 10/15/48,4000000,99.674,4021949,0.079281235,10/5/2018,10/15/2048,Communications,4000000000,4000000000,USD,US,2.192168808,64407,7.850477419,9.155541154,0.000110469,117,1,1,16.18013039,3.652487462,156.3676,170.2635863,171.0482062
US585055BS43,MDT 3 ? 03/15/25,4000000,98.647,3979714,0.078448693,8/31/2015,3/15/2025,Health Care,4000000000,4000000000,USD,US,1.550151026,14990,15.45398081,8.110820244,6.13018E-07,32,1,1,5.617672866,0.353334935,83.0545,85.58611008,85.93749424
US594918BY93,MSFT 3.3 02/06/27,4000000,98.24,3975800,0.078371539,2/6/2017,2/6/2027,Technology,4000000000,4000000000,USD,US,-1.001002004,-47952,17.33486974,16.58214416,4.71824E-06,54,0,1,7.114374212,0.568789599,65.0059,62.66802934,64.64484306
US00206RDJ86,T 4 ? 03/09/48,4497895,87.115,3970629,0.078269608,12/15/2016,3/9/2048,Communications,4497895000,4497895000,USD,US,3.371941808,175884,8.954888819,7.196190476,0.00016571,127,0,1,15.4015377,3.359434926,223.6614,237.8604322,238.3942667
US92826CAD48,V 3.15 12/14/25,4000000,97.216,3950940,0.077881495,12/14/2015,12/14/2025,Financials,4000000000,4000000000,USD,US,0.059192888,6309,22.86734355,22.16830065,1.50046E-08,44,0,1,6.325264589,0.442128666,69.682,69.67740747,71.4857631
US38141GGQ10,GS 5 ? 07/27/21,3750000,103.135,3941391,0.077693264,7/27/2011,7/27/2021,Financials,3750000000,3750000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,2.437991477,0.071807974,116.0434,104.4788931,104.8226345
US25272KAG85,DELL 5.45 06/15/23,3750000,102.3,3936735,0.077601484,6/1/2016,6/15/2023,Technology,3750000000,3750000000,USD,US,-1.412443694,40446,6.240144262,15.39259259,0.024969555,203,1,1,3.823832193,0.170318757,205.8172,193.5570839,195.2807904
US92343VEN01,VZ 3.376 02/15/25,4003544,96.946,3925203,0.077374164,1/19/2018,2/15/2025,Communications,4003544000,4003544000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,5.547472445,0.344334807,105.4177,107.6120186,108.1033782
US40573LAS51,CI 4 ? 10/15/28,3800000,99.455,3818544,0.075271687,9/17/2018,10/15/2028,Health Care,3800000000,3800000000,USD,US,-0.198280593,-1054,9.801799497,17.19341564,0.000161329,95,0,1,8.012460824,0.739283043,152.676,147.4998555,149.3355528
US172967KA87,C 4.45 09/29/27,3850000,96.634,3755150,0.074022055,9/29/2015,9/29/2027,Financials,3850000000,3850000000,USD,US,2.838339901,155880,6.766516687,2.599564085,0.000990965,70,0,1,7.276079307,0.60434135,199.9322,198.3621434,198.615298
US46625HKA76,JPM 2 ? 01/23/20,3750000,98.844,3739228,0.073708198,1/23/2015,1/23/2020,Financials,3750000000,3750000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.11342E-05,54,0,1,1.091567257,0.016947347,53.1235,22.82658201,41.62878294
US111021AE12,BRITEL 8 ? 12/15/30,2670000,135.081,3733015,0.073585727,12/12/2000,12/15/2030,Communications,2800000000,2670000000,USD,GB,1.611651835,11591,#N/A N/A,8.687657431,0.003017923,148,0,1,7.776156636,0.784261529,266.7646,262.3088454,261.2024224
US594918BR43,MSFT 2.4 08/08/26,4000000,92.205,3721267,0.073354148,8/8/2016,8/8/2026,Technology,4000000000,4000000000,USD,US,-1.001002004,-47952,17.33486974,16.58214416,4.71824E-06,54,0,1,6.940654204,0.529884985,66.1962,66.02626452,66.81488486
US00287YAT64,ABBV 2 ? 05/14/20,3750000,98.468,3699842,0.072931816,5/14/2015,5/14/2020,Health Care,3750000000,3750000000,USD,US,2.153778261,31723,14.1337516,9.646086957,0.000139455,93,0,1,1.398072996,0.025774053,75.3193,51.15932171,63.65531603
US92826CAF95,V 4.3 12/14/45,3500000,103.364,3692154,0.072780269,12/14/2015,12/14/2045,Financials,3500000000,3500000000,USD,US,0.059192888,6309,22.86734355,22.16830065,1.50046E-08,44,0,1,16.23565117,3.463631755,95.7432,109.0255612,109.7020223
US949746SK86,WFC 3.069 01/24/23,3750000,96.554,3664892,0.072242876,1/24/2017,1/24/2023,Financials,3750000000,3750000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.85096E-05,56,0,1,3.842130652,0.167080665,125.282,110.2042616,114.545787
US437076AS19,HD 5 ? 12/16/36,3000000,119.028,3657007,0.072087446,12/19/2006,12/16/2036,Consumer Discretionary,3000000000,3000000000,USD,US,1.374692383,24020,12.52287129,15.84011353,2.70997E-06,56,0,1,11.66295585,1.758414112,118.866,134.7291862,133.5922653
US95000U2B83,WFC 2 ? 07/22/22,3750000,95.764,3629431,0.071543864,7/24/2017,7/22/2022,Financials,3750000000,3750000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.85096E-05,56,0,1,3.423484422,0.133326078,116.4859,105.3717873,105.4233386
US161175BA14,CHTR 6.484 10/23/45,3499875,102.298,3611190,0.071184295,12/1/2016,10/23/2045,Communications,3499875000,3499875000,USD,US,4.596520404,71862,9.441831967,4.755339806,0.000486452,157,1,0,13.00118156,2.432466525,314.7098,329.3512188,329.7373731
US00287YAQ26,ABBV 3.6 05/14/25,3750000,95.962,3609075,0.071142604,5/14/2015,5/14/2025,Health Care,3750000000,3750000000,USD,US,2.153778261,31723,14.1337516,9.646086957,0.000139455,93,0,1,5.753649418,0.367646015,141.5874,142.5471155,144.2232024
US92343VDS07,VZ 5.012 04/15/49,3535114,100.06699,3565536,0.070284357,7/6/2017,4/15/2049,Communications,4071606000,3535114000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,15.79218006,3.537009448,184.7643,199.7736091,199.6505335
US822582AD40,RDSALN 6 ? 12/15/38,2750000,125.97,3550371,0.069985422,12/11/2008,12/15/2038,Energy,2750000000,2750000000,USD,NL,1.173804553,63219,6.804769723,14.75725407,4.59785E-05,52,1,1,12.214234,1.981832126,127.8497,142.4335525,142.2930757
US126650CN80,CVS 5 ? 07/20/45,3500000,98.967,3534599,0.069674522,7/20/2015,7/20/2045,Health Care,3500000000,3500000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,14.4509877,2.920507653,204.5371,218.3432643,218.9752187
US20825CAQ78,COP 6 ? 02/01/39,2750000,124.399,3486018,0.068716886,2/3/2009,2/1/2039,Energy,2750000000,2750000000,USD,US,0.803614179,10535,7.131485981,3.699453552,2.97436E-05,64,1,1,12.19206178,1.973764582,147.9218,162.511059,162.2993397
US717081CY74,PFE 7.2 03/15/39,2500000,137.615,3483875,0.068674643,3/24/2009,3/15/2039,Health Care,2500000000,2500000000,USD,US,1.090750756,24164,13.74547901,15.66062992,6.65066E-07,33,0,1,12.18695377,1.97174832,123.4676,138.3522729,138.0037961
US251526BX61,DB 4 ? 10/14/21,3569722,96.784,3479363,0.068585702,6/1/2018,10/14/2021,Financials,3569722000,3569722000,USD,DE,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.009174122,74,0,1,2.678782382,0.083277029,257.1854,245.8799878,246.2235997
US002824BH26,ABT 4.9 11/30/46,3250000,106.529,3467501,0.068351877,11/22/2016,11/30/2046,Health Care,3250000000,3250000000,USD,US,2.09913454,16201,21.85079711,6.259955752,3.15617E-06,44,0,1,15.73470984,3.353464788,133.865,147.6453499,148.1729126
US031162CF59,AMGN 4.663 06/15/51,3541381,95.433,3460837,0.068220515,1/10/2017,6/15/2051,Health Care,3541381000,3541381000,USD,US,0.361869579,4506,11.40151276,#N/A N/A,1.38284E-05,59,0,1,16.30513678,3.875193885,178.713,192.6152038,193.9946262
US377372AE71,GSK 6 ? 05/15/38,2750000,125.062,3452354,0.068053297,5/13/2008,5/15/2038,Health Care,2750000000,2750000000,USD,GB,2.368776707,23084,15.19544071,8.916905444,1.72657E-05,40,1,1,12.25821091,1.943960936,125.3753,140.3390665,139.8427145
US35177PAL13,ORAFP 8 ? 03/01/31,2460507,137.14,3436467,0.06774013,2/11/2002,3/1/2031,Communications,2494406000,2460507000,USD,FR,2.034281605,33879,6.106779625,8.663964628,1.33041E-05,56,0,1,8.217591255,0.856218233,197.0691,192.3999406,191.1115562
US023135BJ40,AMZN 4.05 08/22/47,3487493,97.205,3433175,0.067675238,6/6/2018,8/22/2047,Consumer Discretionary,3487493000,3487493000,USD,US,0.558252427,14145,39.21430263,18.37735849,1.17358E-05,78,0,1,16.80537571,3.819139827,109.5939,123.1017138,123.8483723
US38141GWZ35,GS 4.223 05/01/29,3500000,97.155,3417258,0.067361479,4/23/2018,5/1/2029,Financials,3500000000,3500000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,7.776176338,0.688144478,170.4946,165.2063064,168.0192206
US11134LAD10,AVGO 3 01/15/22,3499940,95.875,3398442,0.066990576,2/14/2018,1/15/2022,Technology,3499940000,3499940000,USD,US,1.35687121,13201,11.33654817,14.67515924,8.56165E-05,84,1,1,2.930324829,0.099246068,168.1597,155.641973,156.0470467
US46625HJD35,JPM 4 ? 01/24/22,3250000,102.397,3383965,0.066705203,1/23/2012,1/24/2022,Financials,3250000000,3250000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.11342E-05,54,0,1,2.891943723,0.098760862,90.7959,78.60448394,78.86048713
US913017BT50,UTX 4 ? 06/01/42,3500000,95.49,3346963,0.065975814,6/1/2012,6/1/2042,Industrials,3500000000,3500000000,USD,US,2.38976234,28413,12.85936995,10.63126844,1.70073E-05,53,0,1,14.46624059,2.734980471,170.0455,184.2619685,183.8796572
US046353AD01,AZN 6.45 09/15/37,2750000,119.3,3323616,0.065515595,9/12/2007,9/15/2037,Health Care,2750000000,2750000000,USD,GB,2.371742112,17162,18.67870409,10.1189759,1.87168E-06,28,0,1,11.67252183,1.779264951,169.6946,185.2286211,184.4338267
US92343VDY74,VZ 4 ? 03/16/27,3250000,99.572,3268116,0.064421571,3/16/2017,3/16/2027,Communications,3250000000,3250000000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,7.009106867,0.557781026,127.1708,126.6902284,126.9220904
US949746RW34,WFC 3 04/22/26,3500000,91.953,3232938,0.063728137,4/22/2016,4/22/2026,Financials,3500000000,3500000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.85096E-05,56,0,1,6.590156856,0.478927519,132.041,133.0734215,133.305165
US949746SH57,WFC 3 10/23/26,3500000,91.932,3231912,0.063707912,10/25/2016,10/23/2026,Financials,3500000000,3500000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.85096E-05,56,0,1,6.985011704,0.538569071,132.6477,132.7490403,132.9979112
US023135BC96,AMZN 3.15 08/22/27,3339351,95.435,3219051,0.063454395,6/6/2018,8/22/2027,Consumer Discretionary,3339351000,3339351000,USD,US,0.558252427,14145,39.21430263,18.37735849,1.17358E-05,78,0,1,7.564260186,0.640524198,84.8652,82.30277049,83.57546158
US594918BL72,MSFT 4.45 11/03/45,3000000,105.875,3190713,0.062895792,11/3/2015,11/3/2045,Technology,3000000000,3000000000,USD,US,-1.001002004,-47952,17.33486974,16.58214416,4.71824E-06,54,0,1,16.0409747,3.401136373,91.7388,105.0976683,105.7069215
US82481LAB53,SHPLN 2.4 09/23/21,3300000,95.814,3179242,0.062669674,9/23/2016,9/23/2021,Health Care,3300000000,3300000000,USD,US,2.270867676,15153.5,12.28634707,8.15235792,4.82311E-05,75,1,1,2.685077597,0.083759165,119.0759,107.6850249,107.9120951
US037833BY53,AAPL 3 ? 02/23/26,3250000,96.757,3176584,0.062617279,2/23/2016,2/23/2026,Technology,3250000000,3250000000,USD,US,-1.503304113,-122617,11.62300632,25.24722222,1.4094E-05,64,0,1,6.391462284,0.456298667,86.5518,86.18003639,87.91249964
US92343VDU52,VZ 5 ? 03/16/37,3000000,104.479,3171995,0.06252682,3/16/2017,3/16/2037,Communications,3000000000,3000000000,USD,US,2.303156638,111996,7.569338118,9.37418128,2.05888E-05,84,0,1,11.96394585,1.823345206,173.1564,188.8116652,187.8509622
US594918CA09,MSFT 4 ? 02/06/47,3000000,103.86,3160425,0.06229875,2/6/2017,2/6/2047,Technology,3000000000,3000000000,USD,US,-1.001002004,-47952,17.33486974,16.58214416,4.71824E-06,54,0,1,16.50022427,3.651253366,87.2194,100.5834748,101.2548195
US05526DBB01,BATSLN 3.557 08/15/27,3493054,89.163,3154893,0.062189703,11/20/2018,8/15/2027,Consumer Staples,3493054000,3493054000,USD,GB,4.590520668,46417,14.38620355,6.819611471,0.00048753,124,1,1,7.361461633,0.609380602,216.9572,215.2581276,215.757532
US38141GWC40,GS 3 04/26/22,3250000,96.561,3150691,0.062106872,1/26/2017,4/26/2022,Financials,3250000000,3250000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,3.211951693,0.117526708,133.5226,120.0748914,122.1336407
US38148YAC21,GS 2.876 10/31/22,3250000,96.601,3150437,0.062101866,10/31/2017,10/31/2022,Financials,3250000000,3250000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,2.771165068,0.088793695,137.677,116.0029286,126.5387488
US61746BED47,MS 2 ? 11/17/21,3250000,96.729,3149617,0.062085702,11/17/2016,11/17/2021,Financials,3250000000,3250000000,USD,US,4.67957934,115350,8.818606217,3.133754608,0.000944346,134,0,1,2.827551543,0.092256661,103.5653,92.54010922,92.71479181
US00206RCQ39,T 4 ? 05/15/46,3500000,89.553,3146824,0.062030646,5/4/2015,5/15/2046,Communications,3500000000,3500000000,USD,US,3.371941808,175884,8.954888819,7.196190476,0.00016571,127,0,1,14.87673203,3.072026933,232.4018,246.4329235,246.8600287
US05567LT315,BNP 5 01/15/21,3000000,102.704,3142370,0.061942848,1/18/2011,1/15/2021,Financials,3000000000,3000000000,USD,FR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.004906284,68,1,1,1.969333132,0.048489069,84.7009,71.05561547,71.63783673
US61744YAH18,MS 2 ? 05/19/22,3250000,96.178,3131495,0.061728478,5/19/2017,5/19/2022,Financials,3250000000,3250000000,USD,US,4.67957934,115350,8.818606217,3.133754608,0.000944346,134,0,1,3.288057553,0.122638478,115.323,104.0365888,104.0791684
US46625HJC51,JPM 4.35 08/15/21,3000000,101.682,3092872,0.060967136,8/10/2011,8/15/2021,Financials,3000000000,3000000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.11342E-05,54,0,1,2.516049902,0.075696813,88.5835,76.99502559,77.29837024
US36962GXZ26,GE 6 ? 03/15/32,2969071,102.456,3090424,0.060918881,3/20/2002,3/15/2032,Industrials,5000000000,2969071000,USD,US,4.193735676,71671,#N/A N/A,-1.326189611,0.010987355,185,0,1,8.887905356,0.990077506,353.3655,347.7183665,346.0397074
US40573LAL09,CI 3 ? 07/15/23,3100000,98.772,3089380,0.060898301,9/17/2018,7/15/2023,Health Care,3100000000,3100000000,USD,US,-0.198280593,-1054,9.801799497,17.19341564,0.000161329,95,0,1,4.215175121,0.200772508,127.4864,116.2028869,117.1499766
US161175BB96,CHTR 4.464 07/23/22,2998250,100.392,3061681,0.060352295,12/1/2016,7/23/2022,Communications,2998250000,2998250000,USD,US,4.596520404,71862,9.441831967,4.755339806,0.000486452,157,1,0,3.173724693,0.11721965,156.5495,142.6907046,145.283949
US21685WDD65,RABOBK 3 ? 02/08/22,3000000,100.43399,3053061,0.060182376,2/8/2012,2/8/2022,Financials,3000000000,3000000000,USD,NL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000269731,48,1,1,2.957309417,0.102271212,94.8871,82.35527495,82.6311541
US00507UAS06,AGN 3.8 03/15/25,3127464,96.702,3053041,0.060181982,3/12/2015,3/15/2025,Health Care,4000000000,3027464000,USD,US,2.911585961,22386.6,14.08535077,1.321102592,8.4089E-05,84,1,1,5.559067612,0.346208624,149.6596,150.5966332,152.5353758
US822582BF88,RDSALN 4 ? 05/11/45,3000000,101.093,3044092,0.060005578,5/11/2015,5/11/2045,Energy,3000000000,3000000000,USD,NL,1.173804553,63219,6.804769723,14.75725407,4.59785E-05,52,1,1,15.91287956,3.358165706,115.6963,130.0217257,129.6494595
US46625HHF01,JPM 6.4 05/15/38,2500000,121.187,3041675,0.059957933,5/22/2008,5/15/2038,Financials,2500000000,2500000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.11342E-05,54,0,1,12.11251349,1.906267589,155.1451,170.19562,169.6943252
US06051GHM42,BAC 4.271 07/23/29,3000000,99.315,3028923,0.059706564,7/23/2018,7/23/2029,Financials,3000000000,3000000000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000156814,58,0,1,7.843062439,0.710512396,147.0718,143.3557,144.1829145
